item.name,item.id,item.username,"item.public_metrics[""followers_count""]","item.public_metrics[""following_count""]","item.public_metrics[""tweet_count""]","item.public_metrics[""listed_count""]"
Trip Gabriel,39245720,tripgabriel,36947,1753,73854,1179
James Poulos,14427663,jamespoulos,22846,950,14704,486
BlockchainDan,2222048700,BlockchainDan,8887,189,10896,340
Rodrigo Campos,16424296,rodrigocampos,2509,5866,16150,121
JOHN E. MUDD,383799402,MUDDLAW,28353,1827,218093,212
The Economist’s 1843 magazine,60959527,1843mag,111775,252,19141,2207
National Review,19417492,NRO,331560,1361,135760,5828
Simon Willison,12497,simonw,29047,4815,34051,1426
Jeff Booth,16461706,JeffBooth,299874,5116,7467,2469
Intelligencer,45565185,intelligencer,80861,1562,79308,2255
Hailey Lennon,3740778132,HaileyLennonBTC,74645,1549,34367,712
Whitney Cummings,28061932,WhitneyCummings,1445404,1192,3796,9494
John Lilic ₿ Ξ ∞ 💜 🍊 #ZKEVM,3362913279,JohnLilic,31384,7978,26866,769
Matty,997715301545361408,DCLBlogger,185206,162,18385,2772
Jeremy Jojola,15622480,jeremyjojola,24090,8389,46678,514
CoinDesk,1333467482,CoinDesk,2643044,1466,88471,19236
Jack McGuire,146299618,JackMacCFB,31558,1080,42044,255
Banxa,1152095832830701568,BanxaOfficial,5395,285,1383,41
André Di Mauro,96389470,andredimauro,94888,2162,15279,83
Jason Nelson,739164545306918912,dragonwolftech,4293,4952,22533,66
Namcios,1273776346771132417,namcios,3568,583,1497,57
Sarah Harris,327040327,iamsarahharris,185316,232,2547,340
Bitcoin Magazine,361289499,BitcoinMagazine,2042007,679,20264,12389
Antonio Pitocco for Congress,1275611912907247617,antoniopitocco1,551,336,4480,6
Nick Harris,75062648,sportingintel,123838,975,53577,2001
Onramp Invest,1017212128149663750,Onrampinvest,4728,426,3416,82
Peter Schiff,56562803,PeterSchiff,641969,266,20879,5735
Binance en Español,1245737194544824327,BinanceES,245232,131,5620,1109
Hailey Lennon,3740778132,HaileyLennonBTC,74645,1549,34367,712
The Floor,978732571738755072,TheMoonCarl,968299,582,12546,3500
Ari Paul ⛓️,847882255540342784,AriDavidPaul,211474,1872,46266,5143
Stu Burguiere,37972057,StuDoesAmerica,103685,1177,3050,1267
Shane Hazel,123036487,ShaneTHazel,33797,2662,26538,112
Bassam Noor | بسام عبدالعزيز نور,264903390,Bassam_A_Noor,86510,711,12107,502
RedState,3135241,RedState,260204,357,139289,4191
Alejandro Muyshondt ⚡,307980074,AMuyshondt,163000,609,849,149
