,time,high,low,open,volumefrom,volumeto,close
37,2022-01-24 22:00:00,36853.6,36317.76,36838.36,2182.33,79874363.07,36417.7
38,2022-01-24 23:00:00,36787.53,36389.91,36417.7,1729.84,63325518.71,36702.79
39,2022-01-25 00:00:00,36711.23,36040.52,36702.79,1604.24,58348819.47,36058.29
40,2022-01-25 01:00:00,36185.55,35992.99,36058.29,1228.33,44341679.29,36146.64
41,2022-01-25 02:00:00,36359.61,36125.44,36146.64,922.38,33411622.4,36341.54
42,2022-01-25 03:00:00,36478.62,36205.96,36341.54,837.37,30420511.39,36450.98
43,2022-01-25 04:00:00,36514.04,35922.54,36450.98,1172.7,42451209.13,35975.14
44,2022-01-25 05:00:00,36120.12,35860.76,35975.14,1055.21,37959698.65,36080.02
45,2022-01-25 06:00:00,36135.78,35868.15,36080.02,700.05,25216860.6,35869.48
46,2022-01-25 07:00:00,36124.5,35732.05,35869.48,1020.93,36658160.91,36072.91
47,2022-01-25 08:00:00,36543.8,36038.86,36072.91,1867.74,67694140.65,36092.79
48,2022-01-25 09:00:00,36537.74,36067.51,36092.79,1184.42,43065411.31,36433.71
49,2022-01-25 10:00:00,36802.41,36328.7,36433.71,1733.35,63253861.91,36463.99
50,2022-01-25 11:00:00,36629.12,36260.23,36463.99,1311.23,47749110.31,36438.69
51,2022-01-25 12:00:00,36784.19,36234.7,36438.69,1743.21,63666765.41,36557.93
52,2022-01-25 13:00:00,36605.65,36302.26,36557.93,2239.66,81630811.38,36538.05
53,2022-01-25 14:00:00,37171.32,36281.13,36538.05,4681.32,171771827.01,36303.07
54,2022-01-25 15:00:00,36786.35,36017.58,36303.07,3766.18,137148582.26,36569.62
55,2022-01-25 16:00:00,37094.2,36548.14,36569.62,2642.64,97321886.1,36866.58
56,2022-01-25 17:00:00,37490.87,36831.15,36866.58,3304.72,123090799.77,37285.07
57,2022-01-25 18:00:00,37555.35,37155.98,37285.07,2053.83,76747377.83,37357.13
58,2022-01-25 19:00:00,37446.38,36950.87,37357.13,2474.3,92125327.05,37101.3
59,2022-01-25 20:00:00,37120.76,36640.61,37101.3,3111.67,114816191.32,36879.35
60,2022-01-25 21:00:00,36924.82,36449.01,36879.35,1825.83,66854844.22,36580.66
61,2022-01-25 22:00:00,36812.88,36479.65,36580.66,1074.47,39379736.55,36812.76
62,2022-01-25 23:00:00,37069.29,36746.67,36812.76,1006.37,37150375.94,36975.99
63,2022-01-26 00:00:00,37015.09,36592.28,36975.99,1071.24,39427260.31,36653.69
64,2022-01-26 01:00:00,36935.83,36595.04,36653.69,856.99,31486011.85,36872.74
65,2022-01-26 02:00:00,37068.68,36823.12,36872.74,663.91,24525037.99,36851.67
66,2022-01-26 03:00:00,37525.71,36833.19,36851.67,1743.37,64979344.61,37425.51
67,2022-01-26 04:00:00,37862.36,37293.45,37425.51,1572.11,59107298.94,37812.64
68,2022-01-26 05:00:00,37988.93,37628.46,37812.64,1376.56,52006937.67,37636.43
69,2022-01-26 06:00:00,37802.5,37245.02,37636.43,1275.63,47871699.67,37319.78
70,2022-01-26 07:00:00,37404.18,37180.43,37319.78,830.77,30967040.74,37375.67
71,2022-01-26 08:00:00,37702.43,37370.89,37375.67,1043.17,39192064.73,37624.75
72,2022-01-26 09:00:00,37991.58,37607.97,37624.75,1596.13,60353815.75,37694.6
73,2022-01-26 10:00:00,38164.87,37590.86,37694.6,1314.35,49784472.03,37969.55
74,2022-01-26 11:00:00,38254.75,37820.77,37969.55,2046.33,77725427.59,38100.37
75,2022-01-26 12:00:00,38117.2,37781.67,38100.37,1529.01,57928342.4,37783.92
76,2022-01-26 13:00:00,38283.86,37677.26,37783.92,2742.76,104073001.8,38232.03
77,2022-01-26 14:00:00,38519.21,38109.79,38232.03,3527.57,135213677.55,38261.68
78,2022-01-26 15:00:00,38375.89,37858.46,38261.68,2562.83,97561043.96,38017.29
79,2022-01-26 16:00:00,38324.28,37948.65,38017.29,1621.74,61886724.35,38304.07
80,2022-01-26 17:00:00,38389.71,38037.83,38304.07,1788.12,68284674.27,38075.88
81,2022-01-26 18:00:00,38265.66,37607.82,38075.88,3014.66,114142595.26,37989.05
82,2022-01-26 19:00:00,38930.36,37545.6,37989.05,11499.36,438668906.92,37580.75
83,2022-01-26 20:00:00,37600.41,36755.56,37580.75,6931.42,257147075.17,37085.71
84,2022-01-26 21:00:00,37193.83,36342.83,37085.71,3131.23,114933116.04,36369.42
85,2022-01-26 22:00:00,36594.56,36275.92,36369.42,1919.7,69903734.96,36538.43
86,2022-01-26 23:00:00,36919.35,36480.5,36538.43,1801.04,66215052.04,36829.37
87,2022-01-27 00:00:00,37106.19,36741.3,36829.37,1884.38,69707823.01,37033.23
88,2022-01-27 01:00:00,37037.91,35867.93,37033.23,2566.5,93406554.91,35879.71
